county_fips,bea_county_name,state_name,population_start,income_index_start,pcpi_start,income_index_end,pcpi_end,population_end,income_index_volatility,income_index_change,income_index_ratio,population_change_pct,rank_start,rank_end,rank_gain,period,high_volatility
48483,"Wheeler, TX",Texas,6417.0,89.3602823600536,5397.272727272727,75.66990699072777,50399.0,4824.0,11.807463456795901,-13.690375369325835,0.8467957463007548,-24.824684431977563,1044.0,1726.0,-682.0,1969-1979 avg vs 2020-2024 avg,True
47095,"Lake, TN",Tennessee,8080.0,59.896004431979094,3685.181818181818,46.19993261011612,30769.2,6422.0,6.174881699902281,-13.696071821862972,0.7713358019161876,-20.519801980198014,2790.0,3075.0,-285.0,1969-1979 avg vs 2020-2024 avg,False
49007,"Carbon, UT",Utah,16100.0,85.50120579941637,5323.636363636364,71.79667303797498,47866.6,20613.0,8.00488083233433,-13.704532761441385,0.8397153275991,28.031055900621116,1299.0,2076.0,-777.0,1969-1979 avg vs 2020-2024 avg,False
53077,"Yakima, WA",Washington,141416.0,89.90149172406826,5508.090909090909,76.19336772759691,50734.4,258523.0,6.254469005929622,-13.708123996471357,0.8475206169153983,82.81029020761441,1003.0,1680.0,-677.0,1969-1979 avg vs 2020-2024 avg,False
51051,"Dickenson, VA",Virginia,16405.0,77.32969869080627,4955.090909090909,63.61347573519011,42435.0,13411.0,11.158519631385932,-13.71622295561616,0.8226267114985296,-18.250533373971344,1827.0,2710.0,-883.0,1969-1979 avg vs 2020-2024 avg,True
17169,"Schuyler, IL",Illinois,8202.0,93.33376698556832,5719.181818181818,79.61033554034242,52974.8,6750.0,8.38821379556061,-13.723431445225899,0.8529639176853552,-17.70299926847111,783.0,1394.0,-611.0,1969-1979 avg vs 2020-2024 avg,False
13271,"Telfair, GA",Georgia,11493.0,60.915128094869075,3699.0,47.17496387795051,31485.2,11000.0,8.57755192483049,-13.740164216918565,0.7744375716403376,-4.289567562864349,2752.0,3074.0,-322.0,1969-1979 avg vs 2020-2024 avg,False
38085,"Sioux, ND",North Dakota,3653.0,69.3722706837673,4145.727272727273,55.60515944502994,36826.4,3713.0,10.812682962862736,-13.767111238737357,0.8015473458913493,1.642485628250756,2320.0,3013.0,-693.0,1969-1979 avg vs 2020-2024 avg,True
48343,"Morris, TX",Texas,11785.0,87.2447639345513,5395.909090909091,73.47353343381825,48935.8,12184.0,9.398986030258461,-13.771230500733054,0.8421540745864833,3.38565973695375,1185.0,1926.0,-741.0,1969-1979 avg vs 2020-2024 avg,True
19123,"Mahaska, IA",Iowa,21883.0,92.20583459934336,5665.818181818182,78.43268410925239,52331.0,22034.0,5.680758179358415,-13.77315049009097,0.8506260417256821,0.6900333592286145,843.0,1495.0,-652.0,1969-1979 avg vs 2020-2024 avg,False
35003,"Catron, NM",New Mexico,2200.0,75.24281152545608,4635.909090909091,61.446848489989236,40925.2,3795.0,6.441689931092179,-13.79596303546684,0.8166474277639213,72.50000000000001,1977.0,2829.0,-852.0,1969-1979 avg vs 2020-2024 avg,False
20103,"Leavenworth, KS",Kansas,53081.0,90.43912713649316,5560.727272727273,76.60959163017975,51025.2,84670.0,4.801718690565339,-13.829535506313405,0.8470845977378629,59.5109361165012,969.0,1636.0,-667.0,1969-1979 avg vs 2020-2024 avg,False
18111,"Newton, IN",Indiana,11606.0,91.1221766809262,5564.727272727273,77.28923851645395,51448.0,14131.0,6.418622122143089,-13.832938164472253,0.8481935060341049,21.755988281923134,926.0,1586.0,-660.0,1969-1979 avg vs 2020-2024 avg,False
27147,"Steele, MN",Minnesota,27425.0,98.19797904206538,6015.909090909091,84.35322842704987,56197.8,37434.0,5.080754100890173,-13.844750615015514,0.8590118579824867,36.49589790337284,517.0,1068.0,-551.0,1969-1979 avg vs 2020-2024 avg,False
39029,"Columbiana, OH",Ohio,108063.0,83.89418172599291,5128.545454545455,69.99405098872467,46624.0,99823.0,5.054766866855746,-13.900130737268242,0.8343135310304651,-7.625181607025533,1380.0,2222.0,-842.0,1969-1979 avg vs 2020-2024 avg,False
42103,"Pike, PA",Pennsylvania,11571.0,99.12339654596545,6007.363636363636,85.22058753984788,56735.8,62376.0,8.311870601134325,-13.902809006117565,0.8597424070343417,439.0718174747213,469.0,1032.0,-563.0,1969-1979 avg vs 2020-2024 avg,False
13025,"Brantley, GA",Georgia,5834.0,68.04380165993553,4140.909090909091,54.123253061526384,36027.0,18795.0,5.218765911539998,-13.920548598409141,0.7954178300033812,222.16318135070279,2396.0,3030.0,-634.0,1969-1979 avg vs 2020-2024 avg,False
21123,"Larue, KY",Kentucky,10634.0,79.5122172436704,4817.0,65.58632728386101,43608.8,15128.0,5.752319290755608,-13.925889959809396,0.8248584878832822,42.260673312018056,1670.0,2562.0,-892.0,1969-1979 avg vs 2020-2024 avg,False
20143,"Ottawa, KS",Kansas,6216.0,91.82994065394459,5531.272727272727,77.85689890442691,51849.4,5853.0,8.47902719062814,-13.973041749517677,0.8478378440624914,-5.839768339768336,866.0,1547.0,-681.0,1969-1979 avg vs 2020-2024 avg,False
20009,"Barton, KS",Kansas,30754.0,98.15195205357205,5987.727272727273,84.17573263426634,56075.4,24835.0,9.253857991147145,-13.976219419305707,0.8576063019951209,-19.246276907069003,518.0,1077.0,-559.0,1969-1979 avg vs 2020-2024 avg,True
04023,"Santa Cruz, AZ",Arizona,13700.0,85.64832819306393,5199.727272727273,71.64362070392738,47703.4,50508.0,8.681345326261228,-14.00470748913655,0.8364859211546094,268.67153284671537,1289.0,2092.0,-803.0,1969-1979 avg vs 2020-2024 avg,False
39135,"Preble, OH",Ohio,34671.0,88.9601307247951,5421.454545454545,74.87997200592193,49887.0,40801.0,5.310295873220053,-14.080158718873179,0.8417250671266299,17.68048224741139,1066.0,1780.0,-714.0,1969-1979 avg vs 2020-2024 avg,False
48169,"Garza, TX",Texas,5354.0,75.95661223487481,4687.272727272727,61.873171444262425,41544.6,4645.0,9.57542376104047,-14.083440790612386,0.8145857170793341,-13.242435562196487,1928.0,2804.0,-876.0,1969-1979 avg vs 2020-2024 avg,True
19057,"Des Moines, IA",Iowa,47289.0,102.98344396185183,6257.0,88.87603964077043,59199.6,38411.0,6.103248625579645,-14.107404321081404,0.8630128904379308,-18.77392205375458,318.0,838.0,-520.0,1969-1979 avg vs 2020-2024 avg,False
30045,"Judith Basin, MT",Montana,2712.0,98.05361620323195,5718.090909090909,83.94601243317744,55888.0,2111.0,17.863923305713765,-14.10760377005451,0.856123574873422,-22.160766961651913,526.0,1094.0,-568.0,1969-1979 avg vs 2020-2024 avg,True
13097,"Douglas, GA",Georgia,27160.0,80.68608357570692,4888.454545454545,66.56957423392274,44306.8,151887.0,7.621527423018634,-14.11650934178418,0.8250440631619106,459.2304860088365,1597.0,2495.0,-898.0,1969-1979 avg vs 2020-2024 avg,False
12031,"Duval, FL",Florida,529484.0,99.62844598369571,6054.909090909091,85.46653515878768,57001.8,1055159.0,6.021024023895806,-14.161910824908034,0.8578527378894815,99.28062037757515,444.0,1019.0,-575.0,1969-1979 avg vs 2020-2024 avg,False
17071,"Henderson, IL",Illinois,8425.0,96.0100347319658,5824.363636363636,81.84592418119958,54491.0,6048.0,9.82233728412292,-14.164110550766225,0.8524726025742141,-28.21364985163205,619.0,1249.0,-630.0,1969-1979 avg vs 2020-2024 avg,True
48429,"Stephens, TX",Texas,8045.0,85.86392082769618,5221.0,71.69155679457383,47727.6,9475.0,18.078011488183932,-14.17236403312235,0.8349438984790579,17.775015537600993,1280.0,2084.0,-804.0,1969-1979 avg vs 2020-2024 avg,True
18003,"Allen, IN",Indiana,274948.0,100.5115664637765,6135.636363636364,86.33356678559855,57567.2,399295.0,6.805287661819268,-14.177999678177954,0.8589416106325676,45.225642666977016,407.0,968.0,-561.0,1969-1979 avg vs 2020-2024 avg,False
39111,"Monroe, OH",Ohio,15690.0,80.5599879984537,4959.545454545455,66.31922912859048,44108.4,13051.0,7.844345021861278,-14.240758869863228,0.8232278923609501,-16.819630337794777,1607.0,2511.0,-904.0,1969-1979 avg vs 2020-2024 avg,False
17171,"Scott, IL",Illinois,6136.0,93.42963221338869,5742.181818181818,79.13548851376933,52686.6,4880.0,9.817881516050434,-14.294143699619354,0.8470063152237158,-20.46936114732725,774.0,1433.0,-659.0,1969-1979 avg vs 2020-2024 avg,True
05117,"Prairie, AR",Arkansas,10299.0,82.73250633853456,5153.545454545455,68.4112842230701,45573.8,7935.0,11.967959938096127,-14.321222115464465,0.8268972771492838,-22.953684823769294,1468.0,2350.0,-882.0,1969-1979 avg vs 2020-2024 avg,True
29117,"Livingston, MO",Missouri,15667.0,88.21347000376201,5413.0,73.88988290081262,49159.8,14658.0,6.45007366521617,-14.32358710294939,0.8376258512182035,-6.440288504499902,1123.0,1888.0,-765.0,1969-1979 avg vs 2020-2024 avg,False
26151,"Sanilac, MI",Michigan,34284.0,86.5452953555472,5244.636363636364,72.19167573199334,48070.8,40293.0,6.260897771739062,-14.353619623553854,0.8341490480264003,17.52712635631781,1231.0,2038.0,-807.0,1969-1979 avg vs 2020-2024 avg,False
48003,"Andrews, TX",Texas,9307.0,96.31235124565245,5906.818181818182,81.95343386130891,54654.6,18923.0,13.7121482528225,-14.358917384343542,0.8509130220721124,103.32008165896637,603.0,1242.0,-639.0,1969-1979 avg vs 2020-2024 avg,True
18099,"Marshall, IN",Indiana,34782.0,92.57295888791766,5638.909090909091,78.21316580400288,52093.2,46464.0,5.731509722601044,-14.35979308391478,0.8448813427115273,33.58633776091082,827.0,1518.0,-691.0,1969-1979 avg vs 2020-2024 avg,False
36063,"Niagara, NY",New York,235244.0,96.0189221230766,5835.454545454545,81.6575891195458,54378.0,209570.0,5.770199971331466,-14.361333003530802,0.8504322618293662,-10.913774633997042,616.0,1266.0,-650.0,1969-1979 avg vs 2020-2024 avg,False
20077,"Harper, KS",Kansas,8001.0,106.4037117616529,6349.545454545455,92.02794389356688,61203.4,5413.0,12.688293974221942,-14.375767868086015,0.8648941129019247,-32.34595675540557,246.0,708.0,-462.0,1969-1979 avg vs 2020-2024 avg,True
20005,"Atchison, KS",Kansas,19286.0,81.71857230502225,5008.545454545455,67.33708449151773,44776.0,16249.0,5.116623189989818,-14.38148781350452,0.8240120035403425,-15.747174115939021,1527.0,2439.0,-912.0,1969-1979 avg vs 2020-2024 avg,False
30021,"Dawson, MT",Montana,11376.0,91.01424424726265,5572.363636363636,76.5178089198605,50968.4,8731.0,10.144196308689047,-14.496435327402153,0.8407234444751416,-23.250703234880454,938.0,1646.0,-708.0,1969-1979 avg vs 2020-2024 avg,True
46105,"Perkins, SD",South Dakota,4701.0,94.11787596804871,5688.090909090909,79.61720417484447,53051.6,2832.0,9.248658212226402,-14.500671793204233,0.8459307369183836,-39.75749840459477,740.0,1392.0,-652.0,1969-1979 avg vs 2020-2024 avg,True
